ID,Sky,Temperature,Precipitation,Wind,Animal,Place,CSW,CSS,CSS_and,CSS_or,CSS_both,CSP,CSP_simple,CSP_know,CSP_gen,CSP_pizza,CSP_drizzle,CSP_shower,S1,S2,CSA,T5,Falcon
46,cloudy,-6,7,33,fish,mountains,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is storm.,There is snow,There is snow.,There will be snow.,There is snow,There is snow.,There is snow,"S, P, T, W",The sky is cloudy. There is storm. 7 mm/h. The temperature is -6 °C. There is wind 33 km/h.,The sky is cloudy. There is storm. 7 mm/h. The temperature is -6 °C.,Tomorrow in the mountains the sky is cloudy. There is storm. 7 mm/h. The temperature is -6 °C. There is wind 33 km/h.,"
Tomorrow, on the mountains, the weather will be cloudy with a chance of storm and 7 mm/h of precipitation. The temperature will be -6 °C, and there will be a strong wind blowing at 33 km/h."
47,overcast,17,9,70,cat,meadows,There is strong wind.,The sky is overcast,There is mist,The sky is overcast,There is mist,There is rain,There is rain.,There is rain.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 17 °C. The sky is overcast. There is rain 9 mm/h. There is strong wind 70 km/h.,The temperature is 17 °C. The sky is overcast. There is rain 9 mm/h.,"The temperature will be 17 °C. The sky will be overcast. There will be rain 9 mm/h. The wind will be strong, 70 km/h.","
The weather forecast for tomorrow is: Expect a cloudy day with a temperature of 17 °C. There will be a chance of rain with 9 mm/h precipitation. A strong wind will blow at 70 km/h."
48,clear,27,0,45,fish,city,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 27 °C. The sky is clear. There is wind 45 km/h.,There is no rain and no snow 0 mm/h. The temperature is 27 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 0 mm/h. The temperature is 27 °C. The sky is clear. There is wind 45 km/h.,"
The weather forecast for tomorrow in the city is:
- No rain or snow
- Clear skies
- Warm temperature of 27 °C
- Light breeze with a speed of 45 km/h."
49,clear,4,9,43,fish,city,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is snow.,No snow,There is snow,There is rain.,There is snow,"P, S, T, W",There is no rain and no snow 9 mm/h. The temperature is 4 °C. The sky is clear. There is wind 43 km/h.,There is no rain and no snow 9 mm/h. The temperature is 4 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 9 mm/h. The temperature is 4 °C. The sky is clear. There is wind 43 km/h.,"
Tomorrow in the city, there will be no rain or snow, and the temperature will be 4 °C. The sky will be clear, and there will be a gentle breeze blowing at 43 km/h."
50,cloudy,23,0,42,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 42 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 23 °C.,There is no rain and no snow 0 mm/h. The temperature is 23 °C.,Tomorrow in the city there is smog. There is no rain and no snow 0 mm/h. The temperature is 23 °C.,"
Tomorrow in the city, there will be a gentle breeze blowing at 42 km/h. The air quality will be affected by smog, and there will be no rain or snow. The temperature will be a comfortable 23 °C."
51,overcast,-5,19,30,bird,mountains,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 30 km/h. The sky is overcast. There is storm. 19 mm/h. The temperature is -5 °C.,There is storm. 19 mm/h. The temperature is -5 °C.,"Tomorrow in the mountains there is wind 30 km/h, the sky is overcast, there is storm, 19 mm/h and the temperature is -5 °C.","
Tomorrow, on the mountains, there will be wind at 30 km/h. The sky will be overcast, and there will be a storm. The temperature will be -5 °C."
52,cloudy,6,0,53,cat,city,There is strong wind.,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 6 °C. There is smog. There is no rain and no snow 0 mm/h. There is strong wind 53 km/h.,The temperature is 6 °C. There is smog. There is no rain and no snow 0 mm/h. There is strong wind 53 km/h.,Tomorrow in the city there is smog. The temperature is 6 °C. There is no rain and no snow 0 mm/h. There is strong wind 53 km/h.,"
Tomorrow in the city, the temperature will be 6 °C. There will be smog, and there will be no rain or snow. The wind will be strong at 53 km/h."
53,clear,17,8,46,bird,mountains,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 46 km/h. The sky is clear. There is no rain and no snow 8 mm/h. The temperature is 17 °C.,There is no rain and no snow 8 mm/h. The temperature is 17 °C.,Tomorrow in the mountains there is wind 46 km/h. The sky is clear. There is no rain and no snow 8 mm/h. The temperature is 17 °C.,"
Tomorrow in the mountains, the weather will be clear with a gentle breeze blowing at 46 km/h. There will be no rain or snow, and the temperature will be a comfortable 17 °C."
54,cloudy,22,0,4,cat,mountains,There is no wind,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 22 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 4 km/h.,The temperature is 22 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 4 km/h.,Tomorrow in the mountains the temperature is 22 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 4 km/h.,"
The weather forecast for tomorrow is for the mountains. The temperature will be 22 °C, and the sky will be cloudy. There will be no rain or snow, and the weather will be calm with no wind at 4 km/h."
55,cloudy,-3,1,18,bird,mountains,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is snow,There is snow,There is snow.,There will be snow.,There is snow.,There is snow.,There is snow.,"W, S, P, T",There is wind 18 km/h. The sky is cloudy. There is snow 1 mm/h. The temperature is -3 °C.,There is snow 1 mm/h. The temperature is -3 °C.,"Tomorrow in the mountains there is wind 18 km/h, the sky is cloudy, there is snow 1 mm/h and the temperature is -3 °C.","
Tomorrow, on the mountains, there will be wind at 18 km/h. The sky will be cloudy, and there will be snow at a rate of 1 mm/h. The temperature will be -3 °C."
56,overcast,-9,16,46,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 46 km/h. There is smog. There is snow 16 mm/h. The temperature is -9 °C.,There is smog. There is snow 16 mm/h. The temperature is -9 °C.,"Tomorrow in the city there is wind 46 km/h, smog, snow 16 mm/h and temperature -9 °C.","
Tomorrow in the city, there will be wind at 46 km/h. There will be smog. There will be snow with a total of 16 mm/h. The temperature will be -9 °C."
57,clear,27,1,10,cat,city,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is rain.,There is rain.,There is shower,"P, S, T, W",The temperature is 27 °C. The sky is clear. There is no rain and no snow 1 mm/h. There is no wind 10 km/h.,The temperature is 27 °C. The sky is clear. There is no rain and no snow 1 mm/h. There is no wind 10 km/h.,The temperature will be 27 °C tomorrow. The sky will be clear. There will be no rain and no snow. The wind will be 10 km/h.,"
The weather in the city tomorrow is expected to be sunny with a temperature of 27 °C. The sky will be clear, and there will be no rain or snow. There will also be no wind at 10 km/h."
58,overcast,-3,14,27,bird,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 27 km/h. There is mist. There is snow 14 mm/h. The temperature is -3 °C.,There is mist. There is snow 14 mm/h. The temperature is -3 °C.,Tomorrow there is mist. There is snow 14 mm/h. The temperature is -3 °C.,"
Tomorrow on the beach, there will be wind at 27 km/h, mist, and -3 °C temperature."
59,cloudy,-3,3,16,fish,city,There is no wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is snow,There is snow,There is snow.,There will be snow.,There is snow.,There is snow.,There is snow.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
60,clear,3,0,19,cat,meadows,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 3 °C. The sky is clear. There is wind 19 km/h.,There is no rain and no snow 0 mm/h. The temperature is 3 °C. The sky is clear.,Tomorrow in the meadows there is no rain and no snow 0 mm/h. The temperature is 3 °C. The sky is clear. There is wind 19 km/h.,"
Tomorrow on the meadows, there will be no rain or snow, with a temperature of 3 °C and clear skies. The wind will be blowing at 19 km/h."
61,overcast,6,16,8,fish,meadows,There is no wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is rain,There is rain.,There is snow.,There will be snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is rain 16 mm/h. The temperature is 6 °C.,The sky is overcast. There is rain 16 mm/h. The temperature is 6 °C.,The sky is overcast. There is rain 16 mm/h. The temperature is 6 °C.,"
The weather forecast for tomorrow is overcast with rain at 16 mm/h. The temperature will be around 6 °C."
62,clear,-1,3,54,fish,meadows,There is strong wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is snow,There is snow.,No snow,There is snow.,There is snow.,There is snow.,"P, S, T, W","P, S, T, W","P, S, T","Tomorrow in/on the meadows. P, S, T, W.","'Tomorrow, on the meadows, P, S, T, W.'"
63,cloudy,22,0,36,bird,mountains,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 36 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 22 °C.,There is no rain and no snow 0 mm/h. The temperature is 22 °C.,Tomorrow in the mountains there is wind 36 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 22 °C.,"
Tomorrow on the mountains, the weather will be windy with a speed of 36 km/h. The sky will be cloudy, and there will be no rain or snow. The temperature will be 22 °C."
64,overcast,-8,0,5,bird,meadows,There is no wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is snow,There is snow,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is no wind 5 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is -8 °C.,There is no rain and no snow 0 mm/h. The temperature is -8 °C.,Tomorrow in the meadows there is no wind 5 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is -8 °C.,"
Tomorrow on the meadows, there will be no wind at 5 km/h. The sky will be overcast, and there will be no rain or snow. The temperature will be -8 °C."
